Htn2PksFeb09,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PksFeb09,
UTM,17 North,NAD 1983 (Conus),Geoid03CONUS
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
mp94,MP,+39.264181786,-81.568854807,514.521,14259315.223,1479411.087,627.068,7.461,17:53:06 19 Feb 2009,0.000,0.000,0.000,0.042,0.069,0.001,,,,3,7
mp95,MP,+39.265540436,-81.586687791,517.156,14259842.119,1474366.908,629.737,7.461,17:49:22 19 Feb 2009,0.339,1.001,0.298,7.860,9.845,0.606,,,,3,4
mp96,MP,+39.266641625,-81.605277930,486.047,14260277.701,1469107.998,598.661,7.461,17:45:35 19 Feb 2009,0.130,1.050,0.254,5.178,10.587,0.607,,,,4,5
mp97,MP,+39.268139195,-81.623790674,494.768,14260858.535,1463872.149,607.414,7.461,17:42:28 19 Feb 2009,0.048,0.116,0.505,4.705,6.536,,,,,6,4
mp98,MP,+39.269015145,-81.642243771,499.785,14261213.991,1458651.794,612.456,7.461,17:39:10 19 Feb 2009,0.044,0.590,0.271,3.769,8.569,0.602,,,,9,4
mp99,MP,+39.269246403,-81.660290260,520.154,14261334.940,1453544.929,632.849,7.461,17:36:03 19 Feb 2009,0.000,0.000,0.000,0.034,0.077,0.001,,,,3,4



mp103,MP,+39.220084272,-81.690047649,491.673,14243497.914,1444986.687,604.299,7.461,17:22:01 19 Feb 2009,0.000,0.000,0.000,0.077,0.033,0.006,,,,3,5
mp104,MP,+39.216649146,-81.709463691,487.106,14242289.662,1439477.976,599.740,7.461,17:18:41 19 Feb 2009,0.000,0.000,0.000,0.035,0.061,0.001,,,,3,4
mp105,MP,+39.210018710,-81.723066611,489.956,14239905.994,1435605.970,602.583,7.461,17:15:55 19 Feb 2009,0.028,0.392,0.119,4.514,5.649,0.611,,,,9,4
mp106,MP,+39.196179077,-81.731015128,487.362,14234885.096,1433313.867,599.965,7.461,17:12:34 19 Feb 2009,0.001,0.012,0.003,0.420,1.269,0.000,,,,6,5
mp107,MP,+39.186253516,-81.743294945,489.591,14231299.529,1429805.224,602.178,7.461,17:09:25 19 Feb 2009,0.005,0.143,0.037,2.951,3.028,0.649,,,,6,8
mp108,MP,+39.174816737,-81.750910637,486.215,14227153.232,1427612.825,598.773,7.461,17:06:21 19 Feb 2009,0.000,0.000,0.000,0.141,0.176,0.004,,,,4,7
mp109,MP,+39.161514621,-81.743452031,483.200,14222292.593,1429686.881,595.718,7.461,17:03:29 19 Feb 2009,0.000,0.000,0.000,0.063,0.079,0.009,,,,3,6


mp115,MP,+39.082039500,-81.757689869,494.567,14193389.742,1425409.691,606.819,7.461,16:13:09 19 Feb 2009,0.003,0.003,0.008,0.707,1.074,0.004,,,,2,10
mp116,MP,+39.075650748,-81.773979637,497.672,14191102.619,1420767.334,609.907,7.461,16:10:14 19 Feb 2009,0.000,0.000,0.000,0.024,0.038,0.004,,,,3,8
mp119,MP,+39.063505566,-81.806246768,480.926,14186760.292,1411570.833,593.112,7.461,16:00:07 19 Feb 2009,0.000,0.000,0.000,0.103,0.158,0.003,,,,3,8
mp120,MP,+39.052048750,-81.797116607,480.507,14182566.144,1414125.812,592.651,7.461,15:57:24 19 Feb 2009,0.000,0.000,0.000,0.033,0.048,0.004,,,,4,9
mp121,MP,+39.041886582,-81.783535331,479.191,14178832.715,1417949.531,591.295,7.461,15:53:45 19 Feb 2009,0.000,0.000,0.000,0.028,0.043,0.004,,,,3,10
mp123,MP,+39.020041911,-81.760596090,482.690,14170824.085,1424396.199,594.697,7.461,15:44:56 19 Feb 2009,0.000,0.000,0.000,0.057,0.078,0.002,,,,4,7
mp125,MP,+38.991401240,-81.762130650,480.656,14160400.100,1423873.050,592.559,7.461,15:36:09 19 Feb 2009,0.000,0.000,0.000,0.022,0.037,0.004,,,,5,10
mp126,MP,+38.979450576,-81.772173884,486.214,14156073.101,1420982.544,598.076,7.461,15:32:03 19 Feb 2009,0.057,0.095,0.082,2.446,4.076,0.005,,,,4,6
mp127,MP,+38.965642750,-81.776039320,481.158,14151055.243,1419841.234,592.965,7.461,15:26:57 19 Feb 2009,0.019,0.038,0.051,1.764,2.691,0.738,,,,10,11
mp128,MP,+38.952345216,-81.767819541,480.959,14146194.055,1422136.794,592.711,7.461,15:22:45 19 Feb 2009,0.000,0.000,0.000,0.048,0.074,0.002,,,,4,8
mp129,MP,+38.941414329,-81.757023487,476.449,14142188.650,1425172.937,588.151,7.461,15:18:33 19 Feb 2009,0.000,0.000,0.000,0.049,0.072,0.003,,,,4,10
mp130,MP,+38.927807150,-81.755174861,476.087,14137230.185,1425657.525,587.727,7.461,15:09:57 19 Feb 2009,0.000,0.000,0.000,0.031,0.049,0.002,,,,3,8
mp131,MP,+38.919734918,-81.769731081,475.993,14134325.863,1421493.118,587.598,7.461,15:06:38 19 Feb 2009,0.000,0.000,0.000,0.064,0.054,0.002,,,,5,8
mp132,MP,+38.922594090,-81.787277938,472.131,14135409.434,1416511.438,583.750,7.461,15:03:36 19 Feb 2009,0.000,0.000,0.000,0.043,0.059,0.002,,,,3,6
mp133,MP,+38.932395691,-81.801368179,474.461,14139012.914,1412535.421,586.122,7.461,15:00:30 19 Feb 2009,0.000,0.000,0.000,0.034,0.046,0.003,,,,4,7
mp134,MP,+38.941907481,-81.814097356,475.490,14142508.050,1408946.561,587.182,7.461,14:11:26 19 Feb 2009,0.000,0.000,0.000,0.032,0.070,0.001,,,,4,6
mp135,MP,+38.939231359,-81.831370114,476.053,14141578.051,1404026.486,587.716,7.461,14:08:23 19 Feb 2009,0.000,0.000,0.000,0.028,0.030,0.004,,,,4,9
mp136,MP,+38.926020023,-81.833477849,476.307,14136773.520,1403383.194,587.913,7.461,14:04:54 19 Feb 2009,0.000,0.000,0.000,0.025,0.050,0.002,,,,4,6
mp137,MP,+38.914302083,-81.841870241,481.412,14132529.167,1400957.054,592.958,7.461,14:00:55 19 Feb 2009,0.008,1.329,0.449,5.432,11.982,0.588,,,,5,5
mp138,MP,+38.900128681,-81.840617758,470.046,14127365.626,1401265.759,581.535,7.461,13:57:10 19 Feb 2009,0.112,4.536,1.232,6.352,23.007,,,,,10,4
mp139,MP,+38.887754410,-81.849570004,470.810,14122883.999,1398676.910,582.233,7.461,13:53:45 19 Feb 2009,0.000,0.000,0.000,0.036,0.040,0.005,,,,4,10
mp140,MP,+38.881791645,-81.866364975,469.755,14120758.010,1393877.322,581.125,7.461,13:50:07 19 Feb 2009,0.000,0.000,0.000,0.035,0.037,0.004,,,,4,9
mp142,MP,+38.873585011,-81.881668565,478.345,14117811.850,1389493.483,589.648,7.461,13:46:37 19 Feb 2009,0.001,0.002,0.002,0.583,0.672,0.002,,,,4,6
mp143,MP,+38.877955202,-81.916663152,469.660,14119501.051,1379549.811,580.922,7.461,13:37:54 19 Feb 2009,0.000,0.000,0.000,0.088,0.112,0.003,,,,3,7
mp144,MP,+38.886897379,-81.930260227,471.669,14122795.873,1375713.425,582.947,7.461,13:34:55 19 Feb 2009,0.000,0.000,0.000,0.047,0.057,0.002,,,,4,7
mp145,MP,+38.900149841,-81.930798221,469.621,14127622.406,1375609.557,580.957,7.461,13:31:28 19 Feb 2009,0.000,0.000,0.000,0.116,0.175,0.006,,,,4,6
mp146,MP,+38.912174333,-81.919421133,470.199,14131967.483,1378890.462,581.610,7.461,13:27:54 19 Feb 2009,0.000,0.000,0.000,0.115,0.142,0.005,,,,3,7
mp147,MP,+38.924778146,-81.910575655,467.987,14136531.067,1381452.392,579.466,7.461,13:24:46 19 Feb 2009,0.000,0.000,0.000,0.025,0.028,0.003,,,,4,8
mp148,MP,+38.938942341,-81.908873965,467.408,14141683.182,1381987.764,578.951,7.461,13:21:37 19 Feb 2009,0.000,0.000,0.000,0.027,0.030,0.004,,,,4,9
mp150,MP,+38.963984863,-81.926259499,466.007,14150850.541,1377136.949,577.656,7.461,13:12:06 19 Feb 2009,0.000,0.000,0.000,0.038,0.049,0.004,,,,5,7
mp151,MP,+38.975044858,-81.938089796,476.177,14154911.736,1373815.713,587.865,7.461,14:19:48 18 Feb 2009,0.000,0.000,0.000,0.026,0.030,0.008,,,,10,8
mp152,MP,+38.985195672,-81.951261950,473.420,14158646.341,1370110.775,585.131,7.461,14:15:44 18 Feb 2009,0.000,0.000,0.000,0.037,0.049,0.008,,,,7,7
mp153,MP,+38.990017644,-81.968244326,471.139,14160452.822,1365303.719,582.838,7.461,14:11:36 18 Feb 2009,0.000,0.000,0.000,0.028,0.030,0.004,,,,7,8
mp155,MP,+39.007588714,-81.991402594,464.886,14166921.064,1358793.156,576.612,7.461,14:03:29 18 Feb 2009,0.000,0.000,0.000,0.026,0.029,0.003,,,,4,10
mp156,MP,+39.019557614,-82.001820223,459.500,14171311.225,1355881.772,571.249,7.461,13:59:39 18 Feb 2009,0.000,0.000,0.000,0.038,0.098,0.001,,,,4,5
mp157,MP,+39.026419916,-82.018062434,462.822,14173860.929,1351296.547,574.566,7.461,13:56:09 18 Feb 2009,0.000,0.000,0.000,0.031,0.034,0.006,,,,5,10
mp158,MP,+39.020139412,-82.034213806,464.357,14171625.984,1346683.615,576.054,7.461,13:51:08 18 Feb 2009,0.000,0.000,0.000,0.031,0.035,0.003,,,,5,8
mp159,MP,+39.006675944,-82.040801417,457.777,14166745.389,1344756.526,569.415,7.461,13:46:38 18 Feb 2009,0.000,0.000,0.000,0.135,0.160,0.002,,,,7,8
mp160,MP,+38.993720679,-82.047711842,457.560,14162051.023,1342739.151,569.137,7.461,13:42:42 18 Feb 2009,0.000,0.000,0.000,0.034,0.073,0.002,,,,4,6
mp161,MP,+38.983898845,-82.062170346,461.699,14158522.591,1338589.365,573.219,7.461,13:38:59 18 Feb 2009,0.000,0.000,0.000,0.075,0.118,0.004,,,,4,5
mp162,MP,+38.977330058,-82.077701182,451.189,14156182.815,1334147.698,562.663,7.461,13:35:01 18 Feb 2009,0.724,3.473,1.824,6.066,23.376,0.001,,,,3,5
mp163,MP,+38.966787364,-82.087985567,461.859,14152379.078,1331179.084,573.275,7.461,13:31:21 18 Feb 2009,0.000,0.000,0.000,0.025,0.027,0.003,,,,6,9
mp164,MP,+38.953661873,-82.088200290,457.501,14147600.960,1331060.975,568.860,7.461,13:27:36 18 Feb 2009,0.000,0.002,0.001,0.351,0.480,0.002,,,,6,7
mp170,MP,+38.880130144,-82.131271855,474.008,14120978.096,1318484.072,584.970,7.461,10:45:12 19 Feb 2009,0.029,0.090,0.050,2.205,3.386,0.665,,,,19,7
mp171,MP,+38.865785065,-82.133092096,469.130,14115761.695,1317901.230,580.019,7.461,10:41:03 19 Feb 2009,0.000,0.001,0.000,0.289,0.477,0.006,,,,5,5
mp172,MP,+38.851126710,-82.136889157,465.297,14110438.256,1316753.982,576.109,7.461,10:30:27 19 Feb 2009,0.000,0.001,0.000,0.168,0.294,0.002,,,,4,8
mp173,MP,+38.837074764,-82.130425084,487.050,14105299.335,1318530.983,597.805,7.461,10:24:31 19 Feb 2009,0.000,0.000,0.000,0.016,0.029,0.002,,,,4,8
mp174,MP,+38.829591640,-82.139041618,476.393,14102605.336,1316043.409,587.097,7.461,10:19:56 19 Feb 2009,0.000,0.000,0.000,0.020,0.034,0.003,,,,4,7
mp175,MP,+38.821888760,-82.157228317,459.526,14099865.934,1310828.581,570.163,7.461,10:15:40 19 Feb 2009,0.000,0.001,0.002,0.342,0.364,0.001,,,,7,5
mp176,MP,+38.814734890,-82.173180680,458.548,14097319.267,1306251.645,569.130,7.461,10:11:19 19 Feb 2009,0.000,0.000,0.000,0.020,0.034,0.002,,,,4,7
mp177,MP,+38.805280453,-82.187227520,460.530,14093928.738,1302205.756,571.044,7.461,10:06:21 19 Feb 2009,0.000,0.000,0.000,0.028,0.050,0.006,,,,4,8
mp178,MP,+38.793899170,-82.198652592,469.746,14089827.488,1298896.614,580.194,7.461,09:57:36 19 Feb 2009,0.015,0.074,0.078,2.045,3.460,0.616,,,,7,8
mp179,MP,+38.779669956,-82.200487793,474.926,14084653.752,1298305.706,585.299,7.461,09:54:03 19 Feb 2009,0.000,0.000,0.000,0.062,0.102,0.007,,,,4,8
mp180,MP,+38.765747186,-82.196478844,470.200,14079569.770,1299381.901,580.512,7.461,09:50:16 19 Feb 2009,0.000,0.000,0.000,0.022,0.036,0.003,,,,5,7
mp181,MP,+38.752342889,-82.189479555,464.817,14074663.524,1301313.547,575.073,7.461,09:42:15 19 Feb 2009,0.054,0.119,0.140,3.041,4.595,0.003,,,,4,8
mp182,MP,+38.738900454,-82.182476443,451.337,14069743.547,1303246.869,561.544,7.461,09:38:49 19 Feb 2009,0.000,0.000,0.000,0.036,0.053,0.006,,,,3,8
mp183,MP,+38.724837373,-82.179393969,453.514,14064612.154,1304059.878,563.662,7.461,09:34:47 19 Feb 2009,0.000,0.000,0.000,0.022,0.031,0.003,,,,4,8
mp184,MP,+38.709577184,-82.178107190,452.048,14059051.548,1304355.408,562.131,7.461,09:31:25 19 Feb 2009,0.000,0.002,0.000,0.298,0.413,0.003,,,,5,8
mp185,MP,+38.695741837,-82.176944404,451.790,14054010.167,1304622.402,561.816,7.461,09:26:53 19 Feb 2009,0.000,0.000,0.000,0.018,0.032,0.002,,,,4,6
mp187,MP,+38.666889703,-82.174516796,473.419,14043496.951,1305180.447,583.329,7.461,09:20:47 19 Feb 2009,0.000,0.000,0.000,0.019,0.031,0.003,,,,5,6
mp188,MP,+38.637879618,-82.170136716,453.760,14032919.185,1306295.925,563.567,7.461,09:13:07 19 Feb 2009,0.046,0.393,0.245,5.136,6.309,,,,,5,4


mp192,MP,+38.597684667,-82.176213928,452.589,14018307.564,1304373.062,562.235,7.461,12:08:56 18 Feb 2009,0.608,2.781,2.038,12.923,18.940,0.576,,,,1,5
mp193,MP,+38.590134231,-82.191382236,449.333,14015614.545,1300003.686,558.919,7.461,12:05:13 18 Feb 2009,0.000,0.000,0.000,0.030,0.033,0.003,,,,5,4
