Htn2PtPl_05nov2009,Y:\Documents\Engineering\Data\LOR\CSX_OhioRsub\Htn2PtPl_05nov2009,
UTM,17 North,(WGS 84),Geoid03
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
mp211_D,MP,+38.428669440,-82.377598774,440.618,13957574.104,1245913.782,549.432,7.435,10:24:17 5 Nov 2009,0.000,0.000,0.000,0.035,0.055,0.005,,,,6,11
mp210b_D,MP,+38.433589958,-82.360189873,446.186,13959291.447,1250925.824,555.044,7.435,10:32:26 5 Nov 2009,0.000,0.000,0.000,0.030,0.058,0.003,,,,7,10
mp209_D,MP,+38.436983357,-82.342382064,444.086,13960452.092,1256043.308,552.990,7.435,10:37:54 5 Nov 2009,0.000,0.001,0.001,0.040,0.080,0.014,,,,12,9
mp208_D,MP,+38.442142338,-82.325396595,448.263,13962259.892,1260934.089,557.212,7.435,10:46:56 5 Nov 2009,0.000,0.000,0.000,0.023,0.047,0.002,,,,6,10
mp207_D,MP,+38.452892944,-82.313034169,448.191,13966123.132,1264529.576,557.177,7.435,10:58:28 5 Nov 2009,0.000,0.000,0.000,0.025,0.048,0.003,,,,6,10
mp206_D,MP,+38.466963041,-82.308292455,447.582,13971226.256,1265959.820,556.597,7.435,11:30:03 5 Nov 2009,0.000,0.000,0.000,0.036,0.055,0.003,,,,6,9
mp205_D,MP,+38.480962111,-82.306387141,446.300,13976315.104,1266577.488,555.338,7.435,11:38:41 5 Nov 2009,0.000,0.001,0.000,0.054,0.076,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,19,9
mp204_D,MP,+38.494371211,-82.300033268,456.751,13981171.174,1268464.748,565.823,7.435,11:51:13 5 Nov 2009,0.000,0.001,0.000,0.032,0.078,0.002,,,,6,7
mp203_D,MP,+38.508612046,-82.298730135,450.043,13986350.539,1268910.775,559.139,7.435,11:58:08 5 Nov 2009,0.035,0.212,0.029,1.058,1.286,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,38,8
mp202_D,MP,+38.523108815,-82.297923924,458.238,13991625.102,1269215.869,567.362,7.435,12:06:07 5 Nov 2009,0.333,1.964,0.661,2.754,3.394,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,62,8
mp201_D,MP,+38.536858836,-82.291135267,453.831,13996603.734,1271227.753,562.997,7.435,12:13:59 5 Nov 2009,0.000,0.000,0.000,0.029,0.032,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,86,6
mp200_D,MP,+38.549901234,-82.284548513,470.906,14001325.696,1273177.594,580.120,7.435,12:24:08 5 Nov 2009,0.000,0.000,0.000,0.021,0.031,0.003,,,,6,12
mp199_D,MP,+38.564652737,-82.282718364,475.273,14006688.977,1273775.789,584.536,7.435,12:33:33 5 Nov 2009,0.000,0.000,0.000,0.036,0.063,0.004,,,,6,9
mp198_D,MP,+38.578512185,-82.279610412,467.722,14011722.418,1274734.446,577.039,7.435,12:58:03 5 Nov 2009,0.010,0.004,0.003,0.166,0.292,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,12,11
mp197_D,MP,+38.584883186,-82.263873668,448.075,14013979.658,1279263.711,557.454,7.435,13:14:49 5 Nov 2009,0.106,0.049,0.218,0.781,1.398,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,20,13
mp212_D,MP,+38.586125442,-82.245457072,447.000,14014360.041,1284532.589,556.433,7.435,13:26:13 5 Nov 2009,0.047,0.597,0.038,1.017,1.838,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,10,13
mp195_D,MP,+38.583675975,-82.229265765,450.284,14013405.934,1289147.412,559.752,7.435,13:37:16 5 Nov 2009,0.000,0.000,0.000,0.033,0.057,0.004,,,,6,14
mp194_D,MP,+38.586146960,-82.209399009,447.815,14014230.183,1294836.479,557.345,7.435,13:54:18 5 Nov 2009,0.001,0.003,0.002,0.110,0.201,0.015,,,,7,14
mp193_D,MP,+38.590102199,-82.191573698,450.773,14015603.593,1299948.826,560.358,7.435,13:59:36 5 Nov 2009,0.002,0.006,0.003,0.164,0.285,0.017,,,,13,13
mp192_D,MP,+38.597696820,-82.176197857,451.069,14018311.930,1304377.710,560.715,7.435,14:06:33 5 Nov 2009,0.048,0.229,0.183,0.834,1.509,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,,,,16,14
mp191_D,MP,+38.609970201,-82.167071972,448.392,14022747.030,1307041.847,558.101,7.435,14:15:55 5 Nov 2009,0.027,0.095,0.024,0.486,0.842,0.003,,,,18,9
